,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,"Form, Last 6 games, Oldest first"
0,1Hearts,15,9,5,1,30,12,18,32,DResult DrawWResult WinDResult DrawLResult LossDResult DrawDResult Draw
1,2Celtic,14,10,2,2,24,9,15,32,LResult LossWResult WinWResult WinWResult WinWResult WinWResult Win
2,3Motherwell,15,5,8,2,22,15,7,23,WResult WinDResult DrawWResult WinWResult WinDResult DrawDResult Draw
3,4Rangers,14,5,8,1,19,13,6,23,WResult WinWResult WinWResult WinWResult WinDResult DrawDResult Draw
4,5Hibernian,15,5,6,4,24,18,6,21,LResult LossDResult DrawWResult WinWResult WinLResult LossLResult Loss
5,6Falkirk,15,5,6,4,19,21,-2,21,LResult LossWResult WinDResult DrawWResult WinDResult DrawDResult Draw
6,7Aberdeen,14,5,3,6,13,15,-2,18,LResult LossWResult WinDResult DrawWResult WinWResult WinDResult Draw
7,8Dundee United,14,3,7,4,21,23,-2,16,WResult WinLResult LossDResult DrawLResult LossDResult DrawDResult Draw
8,9Kilmarnock,15,2,6,7,16,27,-11,12,LResult LossLResult LossLResult LossLResult LossDResult DrawDResult Draw
9,10Dundee,15,3,3,9,12,26,-14,12,LResult LossLResult LossLResult LossLResult LossWResult WinLResult Loss
10,11St. Mirren,14,2,5,7,12,22,-10,11,LResult LossDResult DrawLResult LossLResult LossLResult LossDResult Draw
11,12Livingston,14,1,5,8,15,26,-11,8,LResult LossLResult LossDResult DrawDResult DrawLResult LossLResult Loss
